SN,day,time,datetime,TR_PWM_SLOP_FRONT,TR_PWM_OFFSET_FRONT,R2_Front,TR_AccuENC_RATIO_FRONT,TR_PWM_SLOP_REAR,TR_PWM_OFFSET_REAR,R2_Rear,TR_AccuENC_RATIO_REAR
DRW401710281,20171009,81333,20171009081333,1.348080,-32.900831,0.999995,9.075778999999999,1.3611790000000001,-38.201112,0.999977,9.178872
DRW401710291,20171009,102933,20171009102933,1.343492,-40.855541,0.999990,9.076184,1.366327,-37.539421999999995,0.9999969999999999,9.178117
DRW411710311,20171009,135114,20171009135114,1.353229,-31.129277,0.999998,9.075836,1.359106,-37.776421,0.9999969999999999,9.178467999999999
DRW411710321,20171009,144408,20171009144408,1.333465,-32.153102,0.999998,9.076472,1.359049,-42.868520000000004,1.0,9.179487
DRW411710331,20171009,152736,20171009152736,1.343890,-26.340070,1.000000,9.075702,1.356093,-41.186331,0.9999979999999999,9.177949
DRW411710341,20171009,165840,20171009165840,1.359518,-32.338605,0.999999,9.075168,1.35481,-41.052855,0.99998,9.179633
DRW411710351,20171010,83321,20171010083321,1.322150,-35.455712,0.999998,9.076080000000001,1.344203,-39.06955,1.0,9.178966
DRW411710361,20171010,105321,20171010105321,1.337440,-28.390500,0.999995,9.076203999999999,1.351716,-37.696557,0.9999969999999999,9.175146
DRW411710371,20171010,131506,20171010131506,1.334713,-31.258863,0.999985,9.070608,1.3353899999999999,-36.922113,0.999999,9.1792
DRW411710301,20171010,144250,20171010144250,1.342385,-38.886386,0.999981,9.07622,1.363703,-39.442593,0.999991,9.177858
DRW411710411,20171011,82924,20171011082924,1.328214,-38.326940,0.999998,9.075185000000001,1.3591389999999999,-40.633796000000004,0.999875,9.174227
DRW411710401,20171011,101344,20171011101344,1.349918,-35.457323,0.999999,9.075508000000001,1.3521379999999998,-36.638801,0.9999959999999999,9.175385
DRW411710421,20171011,104843,20171011104843,1.349994,-38.673659,0.999996,9.075396000000001,1.351389,-39.786767,1.0,9.174702
DRW411710021,20171011,143758,20171011143758,1.353376,-31.992632,0.999998,9.076203,1.366542,-40.425139,1.0,9.177382000000001
DRW411710041,20171011,161504,20171011161504,1.352193,-34.238281,0.999998,9.076284,1.353639,-44.114264,1.0,9.179111
DRW411710061,20171012,135645,20171012135645,1.348791,-31.072828,0.999794,9.075827,1.363638,-41.181473,0.9999979999999999,9.178768
DRW411710071,20171012,144424,20171012144424,1.346508,-35.483862,0.999970,9.075949000000001,1.363171,-39.426004999999996,0.9999889999999999,9.180302000000001
DRW411710081,20171012,154613,20171012154613,1.336504,-37.334504,0.999980,9.076114,1.360817,-41.025958,0.9999950000000001,9.179418
DRW411710091,20171013,81512,20171013081512,1.350434,-32.679825,0.999991,9.076282,1.359507,-39.431298,0.9999950000000001,9.17698
DRW411710051,20171013,110611,20171013110611,1.344663,-32.447187,0.999996,9.075106,1.370552,-40.530703,1.0,9.178087
DRW421710051,20171016,114300,20171016114300,1.353372,-30.761503,0.999981,9.068677000000001,1.351966,-41.063926,0.999994,9.17661
DRW441710001,20171110,163913,20171110163913,1.317340,-44.905642,0.999884,9.07597,1.34755,-44.159793,0.999967,9.179497
DRW471710041,20171122,135515,20171122135515,1.345062,-34.108574,0.999997,9.076306,1.3671389999999999,-39.138835,0.9999950000000001,9.17975
DRW471710031,20171122,150320,20171122150320,1.368428,-34.186115,0.999996,9.076216,1.363234,-41.007897,0.9999959999999999,9.177333
DRW471710021,20171122,163631,20171122163631,1.363793,-31.180344,0.999992,9.075525,1.351369,-37.925435,0.999978,9.178596
DRW471710051,20171123,131049,20171123131049,1.348571,-33.044488,0.999988,9.074424,1.342144,-40.891769000000004,0.9999950000000001,9.177809
DRW471710081,20171124,145221,20171124145221,1.337403,-34.074224,0.999998,9.075882,1.368997,-40.890656,0.9999899999999999,9.178181
DRW471710091,20171124,152817,20171124152817,1.341759,-37.360627,0.999988,9.074637,1.351184,-40.309145,0.9999969999999999,9.179074
DRW471710101,20171127,83222,20171127083222,1.328185,-36.585941,0.999996,9.075560000000001,1.341809,-43.315789,0.999975,9.170747
DRW471710111,20171127,95035,20171127095035,1.346990,-38.397463,1.000000,9.074778,1.3516920000000001,-42.025771999999996,0.999984,9.174297
DRW481710011,20171127,120611,20171127120611,1.348991,-37.039624,0.999922,9.075237,1.358857,-38.956615,0.999985,9.173614
DRW481710021,20171127,150551,20171127150551,1.346771,-38.006747,0.999987,9.075547,1.3484639999999999,-42.002802,0.999999,9.174137
DRW481710031,20171127,155859,20171127155859,1.320529,-37.898051,0.999997,9.075383,1.334977,-42.156048,0.999999,9.174219
DRW481710041,20171127,171023,20171127171023,1.332660,-37.540852,1.000000,9.074762,1.334307,-40.396623,1.0,9.178308
DRW481710061,20171128,141340,20171128141340,1.327997,-38.565503,0.999958,9.076481,1.3254549999999998,-39.921019,0.999999,9.179083
DRW481710081,20171129,81151,20171129081151,1.318485,-38.641106,0.999998,9.075516,1.329741,-42.006562,0.999976,9.175132000000001
DRW481710051,20171129,85600,20171129085600,1.335064,-35.379401,0.999987,9.074521,1.3429870000000002,-38.989244,1.0,9.170228999999999
DRW481710071,20171129,104036,20171129104036,1.336849,-38.524479,0.999981,9.075064999999999,1.339759,-39.741863,0.9999809999999999,9.176161
DRW481710111,20171130,82127,20171130082127,1.325018,-35.307829,0.999999,9.074852,1.31897,-42.225947,0.999999,9.176399
DRW481710131,20171130,95442,20171130095442,1.319595,-38.468714,0.999999,9.075266000000001,1.3351540000000002,-40.527827,1.0,9.177291
DRW481710121,20171130,111954,20171130111954,1.348100,-36.999242,0.999999,9.074952,1.372012,-39.626115000000006,0.9999889999999999,9.178268
DRW411710381,20171130,130645,20171130130645,1.356334,-25.938761,1.000000,9.075664999999999,1.360001,-42.805253,0.999972,9.175723
DRW481710141,20171130,152804,20171130152804,1.344693,-29.320477,0.999968,9.075319,1.363883,-41.698175,0.9999870000000001,9.176592
DRW481710161,20171204,102403,20171204102403,1.362953,-28.221235,0.999999,9.07497,1.375114,-40.354735999999995,0.9999809999999999,9.177806
DRW471710061,20171204,105335,20171204105335,1.332479,-35.585486,0.999997,9.075600999999999,1.356476,-52.96923100000001,1.0,9.177866999999999
DRW411710011,20171204,164516,20171204164516,1.336034,-33.238258,0.999979,9.080488,1.3452600000000001,-39.445665000000005,0.999991,9.187598
DRW481710171,20171204,170323,20171204170323,1.369369,-23.235002,1.000000,9.074747,1.363366,-42.818965999999996,0.9999530000000001,9.176304
DRW491710011,20171205,80413,20171205080413,1.369693,-28.987158,0.999998,9.075762,1.384457,-43.45685,0.999925,9.177268
DRW491710021,20171205,85407,20171205085407,1.346968,-41.804045,1.000000,9.076789999999999,1.363958,-41.803406,0.999999,9.180201
DRW491710031,20171205,103123,20171205103123,1.374659,-37.002726,0.999989,9.075600999999999,1.3810959999999999,-40.576211,0.999993,9.179684
DRW491710041,20171205,112754,20171205112754,1.368852,-31.707130,0.999990,9.076381,1.3691950000000002,-39.170654,0.9999979999999999,9.174491999999999
DRW491710051,20171205,131233,20171205131233,1.350273,-37.725512,0.999983,9.076630999999999,1.361574,-40.964079,0.999959,9.179292
DRW491710061,20171205,140524,20171205140524,1.311005,-36.857488,0.999972,9.075431,1.3317780000000001,-37.203539,0.9999540000000001,9.179205
DRW491710071,20171205,150501,20171205150501,1.317262,-37.592130,0.999999,9.076222999999999,1.335812,-41.468961,0.9999899999999999,9.178621000000001
DRW491710081,20171205,160207,20171205160207,1.322068,-39.392005,1.000000,9.075988,1.345067,-45.044878999999995,0.9999879999999999,9.176482
DRW491710091,20171205,171239,20171205171239,1.312907,-31.855753,0.999988,9.075874,1.335625,-45.401357,0.9999040000000001,9.177085
DRW491710101,20171206,83732,20171206083732,1.313151,-33.501767,0.999985,9.075467,1.337285,-38.132983,0.999977,9.177992999999999
DRW481710091,20171206,91451,20171206091451,1.341828,-40.138657,0.999997,9.076176,1.335616,-46.466553000000005,0.9999969999999999,9.179699000000001
DRW491710111,20171206,101343,20171206101343,1.320968,-38.145854,0.999995,9.075742,1.3349719999999998,-39.458161,0.999983,9.178113
DRW491710121,20171206,104501,20171206104501,1.326719,-33.050369,1.000000,9.075082,1.341432,-40.676831,0.9999979999999999,9.179281
DRW491710131,20171206,114401,20171206114401,1.320211,-37.243011,0.999991,9.076578,1.33641,-39.946603,0.999999,9.179666000000001
DRW491710141,20171206,134522,20171206134522,1.312092,-28.693078,0.999987,9.076299,1.32695,-41.345781,0.9999979999999999,9.17933
DRW491710151,20171206,142141,20171206142141,1.320965,-33.185427,0.999998,9.075794,1.337607,-40.422671,0.999991,9.176200999999999
DRW411710031,20171206,150725,20171206150725,1.355584,-36.577085,0.999992,9.076408,1.364534,-40.694444,0.9999950000000001,9.179572
DRW481710101,20171206,162212,20171206162212,1.319836,-37.255479,1.000000,9.075248,1.3229540000000002,-38.209907,0.9999610000000001,9.176672
DRW411710391,20171207,81018,20171207081018,1.326685,-34.636888,0.999990,9.076483999999999,1.3592090000000001,-39.938637,0.999999,9.175895
DRW471710071,20171207,90038,20171207090038,1.344846,-37.026271,0.999996,9.075725,1.356084,-44.678733,0.9999899999999999,9.177651
