ID,SN,TEST,DAY,@TIME,TESTVERSION,STATUS,FIRST,LAST,SHIFT,FAMILY,Calibration,@TABLE,RESULTNUM1,X1,RESULTNUM2,X2,RESULTNUM3,X3,RESULTNUM4,X4,RESULTNUM5,X5,RESULTNUM6,X6,RESULTNUM7,X7,RESULTNUM8,X8,RESULTNUM9,X9,RESULTNUM10,X10,RESULTNUM11,X11,RESULTNUM12,X12,RESULTNUM13,X13,RESULTNUM14,X14,RESULTNUM15,X15,RESULTNUM16,X16,RESULTNUM17,X17,RESULTNUM18,X18,RESULTNUM19,X19,RESULTNUM20,X20,RESULTNUM21,X21,RESULTNUM22,X22,RESULTNUM23,X23,RESULTNUM24,X24,RESULTNUM25,X25,RESULTNUM26,X26,RESULTNUM27,X27,RESULTNUM28,X28
2403,DRW231810141,BT_914mm_NewBT,20180605,104320,6,P,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,74.3,BTFrontBigError_25N,19.1,BTFrontBigError_20N,20.2,BTFrontBigError_15N ,24.3,BTFrontBigError_30N,17.2,AccBTFrontBigError_25N,8.0,DecBTFrontBigError_30N,1.2,RADIUS_FRONT_SMALL_ROLL,49.1,BTFrontSmallError_25N,6.7,BTFrontSmallError_20N,3.1,BTFrontSmallError_15N,6.2,BTFrontSmallError_30N,9.4,AccBTFrontSmallError_25N,2.3,DecBTFrontSmallError_30N,6.1,RADIUS_REAR_BIG_ROLL,72.9,BTRearBigError_25N,-2.0,BTBTRearBigError_20N,-2.0,BTBTRearBigError_15N ,14.6,BTBTRearBigError_30N,1.7,AccBTRearBigError_25N,-0.3,DecBTRearBigError_30N,-5.8,RADIUS_REAR_SMALL_ROLL,48.6,BTRearSmallError_25N,5.0,BTRearSmallError_20N,10.9,BTRearSmallError_15N,27.8,BTRearSmallError_30N,10.6,AccBTRearSmallError_25N,15.7,DecBTRearSmallError_30N,4.4
2404,DRW231810161,BT_914mm_NewBT,20180605,111634,6,P,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,72.8,BTFrontBigError_25N,8.6,BTFrontBigError_20N,5.7,BTFrontBigError_15N ,15.2,BTFrontBigError_30N,4.8,AccBTFrontBigError_25N,-7.5,DecBTFrontBigError_30N,-4.6,RADIUS_FRONT_SMALL_ROLL,64.8,BTFrontSmallError_25N,1.2,BTFrontSmallError_20N,4.6,BTFrontSmallError_15N,7.0,BTFrontSmallError_30N,1.9,AccBTFrontSmallError_25N,-3.1,DecBTFrontSmallError_30N,-9.8,RADIUS_REAR_BIG_ROLL,71.3,BTRearBigError_25N,13.5,BTBTRearBigError_20N,14.2,BTBTRearBigError_15N ,14.4,BTBTRearBigError_30N,12.2,AccBTRearBigError_25N,-1.7,DecBTRearBigError_30N,-4.7,RADIUS_REAR_SMALL_ROLL,62.9,BTRearSmallError_25N,4.6,BTRearSmallError_20N,-0.9,BTRearSmallError_15N,-2.3,BTRearSmallError_30N,3.0,AccBTRearSmallError_25N,-5.6,DecBTRearSmallError_30N,-9.9
2405,DRW231810121,BT_914mm_NewBT,20180605,113151,6,P,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,70.4,BTFrontBigError_25N,11.5,BTFrontBigError_20N,12.4,BTFrontBigError_15N ,24.7,BTFrontBigError_30N,13.3,AccBTFrontBigError_25N,0.2,DecBTFrontBigError_30N,-0.6,RADIUS_FRONT_SMALL_ROLL,68.7,BTFrontSmallError_25N,2.6,BTFrontSmallError_20N,4.0,BTFrontSmallError_15N,10.3,BTFrontSmallError_30N,6.2,AccBTFrontSmallError_25N,-10.5,DecBTFrontSmallError_30N,1.3,RADIUS_REAR_BIG_ROLL,69.1,BTRearBigError_25N,0.8,BTBTRearBigError_20N,-3.3,BTBTRearBigError_15N ,-0.7,BTBTRearBigError_30N,-0.3,AccBTRearBigError_25N,-6.6,DecBTRearBigError_30N,-6.8,RADIUS_REAR_SMALL_ROLL,67.4,BTRearSmallError_25N,1.3,BTRearSmallError_20N,-7.6,BTRearSmallError_15N,-11.1,BTRearSmallError_30N,-1.7,AccBTRearSmallError_25N,-17.5,DecBTRearSmallError_30N,-12.3
2406,DRW231810171,BT_914mm_NewBT,20180605,115532,6,P,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,69.0,BTFrontBigError_25N,10.6,BTFrontBigError_20N,10.6,BTFrontBigError_15N ,15.7,BTFrontBigError_30N,7.2,AccBTFrontBigError_25N,1.0,DecBTFrontBigError_30N,-5.3,RADIUS_FRONT_SMALL_ROLL,60.4,BTFrontSmallError_25N,5.5,BTFrontSmallError_20N,7.3,BTFrontSmallError_15N,7.8,BTFrontSmallError_30N,5.9,AccBTFrontSmallError_25N,-11.9,DecBTFrontSmallError_30N,-2.4,RADIUS_REAR_BIG_ROLL,67.2,BTRearBigError_25N,13.5,BTBTRearBigError_20N,12.6,BTBTRearBigError_15N ,16.2,BTBTRearBigError_30N,12.8,AccBTRearBigError_25N,-1.7,DecBTRearBigError_30N,-1.7,RADIUS_REAR_SMALL_ROLL,58.3,BTRearSmallError_25N,9.3,BTRearSmallError_20N,10.4,BTRearSmallError_15N,16.5,BTRearSmallError_30N,8.9,AccBTRearSmallError_25N,-16.5,DecBTRearSmallError_30N,-6.6
2407,DRW231810181,BT_914mm_NewBT,20180605,120137,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,78.2,BTFrontBigError_25N,11.3,BTFrontBigError_20N,15.0,BTFrontBigError_15N ,6.9,BTFrontBigError_30N,9.4,AccBTFrontBigError_25N,-3.9,DecBTFrontBigError_30N,-1.1,RADIUS_FRONT_SMALL_ROLL,66.6,BTFrontSmallError_25N,1.5,BTFrontSmallError_20N,-0.0,BTFrontSmallError_15N,1.5,BTFrontSmallError_30N,3.3,AccBTFrontSmallError_25N,-9.0,DecBTFrontSmallError_30N,-6.7,RADIUS_REAR_BIG_ROLL,76.9,BTRearBigError_25N,35.3,BTBTRearBigError_20N,38.1,BTBTRearBigError_15N ,45.9,BTBTRearBigError_30N,35.1,AccBTRearBigError_25N,11.2,DecBTRearBigError_30N,18.6,RADIUS_REAR_SMALL_ROLL,64.9,BTRearSmallError_25N,1.3,BTRearSmallError_20N,3.5,BTRearSmallError_15N,18.5,BTRearSmallError_30N,14.3,AccBTRearSmallError_25N,0.9,DecBTRearSmallError_30N,-11.6
2408,DRW231810181,BT_914mm_NewBT,20180605,120728,6,F,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,78.2,BTFrontBigError_25N,11.3,BTFrontBigError_20N,15.0,BTFrontBigError_15N ,6.9,BTFrontBigError_30N,9.4,AccBTFrontBigError_25N,-3.9,DecBTFrontBigError_30N,-1.1,RADIUS_FRONT_SMALL_ROLL,66.6,BTFrontSmallError_25N,1.5,BTFrontSmallError_20N,-0.0,BTFrontSmallError_15N,1.5,BTFrontSmallError_30N,3.3,AccBTFrontSmallError_25N,-9.0,DecBTFrontSmallError_30N,-6.7,RADIUS_REAR_BIG_ROLL,75.2,BTRearBigError_25N,40.5,BTBTRearBigError_20N,41.9,BTBTRearBigError_15N ,40.5,BTBTRearBigError_30N,37.6,AccBTRearBigError_25N,10.0,DecBTRearBigError_30N,24.0,RADIUS_REAR_SMALL_ROLL,64.9,BTRearSmallError_25N,1.3,BTRearSmallError_20N,3.5,BTRearSmallError_15N,18.5,BTRearSmallError_30N,14.3,AccBTRearSmallError_25N,0.9,DecBTRearSmallError_30N,-11.6
2409,DRW231810191,BT_914mm_NewBT,20180605,132722,6,P,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,62.5,BTFrontBigError_25N,8.8,BTFrontBigError_20N,10.8,BTFrontBigError_15N ,14.1,BTFrontBigError_30N,8.2,AccBTFrontBigError_25N,-3.7,DecBTFrontBigError_30N,4.2,RADIUS_FRONT_SMALL_ROLL,55.7,BTFrontSmallError_25N,3,BTFrontSmallError_20N,2.5,BTFrontSmallError_15N,2.2,BTFrontSmallError_30N,5.6,AccBTFrontSmallError_25N,-4.1,DecBTFrontSmallError_30N,-1.5,RADIUS_REAR_BIG_ROLL,60.5,BTRearBigError_25N,11.0,BTBTRearBigError_20N,8.4,BTBTRearBigError_15N ,14.4,BTBTRearBigError_30N,12.4,AccBTRearBigError_25N,-5.9,DecBTRearBigError_30N,1.6,RADIUS_REAR_SMALL_ROLL,53.2,BTRearSmallError_25N,9.2,BTRearSmallError_20N,10.2,BTRearSmallError_15N,12.4,BTRearSmallError_30N,9.8,AccBTRearSmallError_25N,-1.1,DecBTRearSmallError_30N,-1.1
2410,DRW231810031,BT_914mm_NewBT,20180605,134225,6,P,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,62.0,BTFrontBigError_25N,8.5,BTFrontBigError_20N,10.5,BTFrontBigError_15N ,11.6,BTFrontBigError_30N,11.5,AccBTFrontBigError_25N,-0.4,DecBTFrontBigError_30N,1.0,RADIUS_FRONT_SMALL_ROLL,57.9,BTFrontSmallError_25N,-0.7,BTFrontSmallError_20N,-3.1,BTFrontSmallError_15N,-5.1,BTFrontSmallError_30N,2.5,AccBTFrontSmallError_25N,-9.6,DecBTFrontSmallError_30N,-1.8,RADIUS_REAR_BIG_ROLL,60.1,BTRearBigError_25N,19.9,BTBTRearBigError_20N,15.9,BTBTRearBigError_15N ,27.1,BTBTRearBigError_30N,12.8,AccBTRearBigError_25N,-5.8,DecBTRearBigError_30N,3.8,RADIUS_REAR_SMALL_ROLL,56.2,BTRearSmallError_25N,8.8,BTRearSmallError_20N,5.0,BTRearSmallError_15N,16.9,BTRearSmallError_30N,10.7,AccBTRearSmallError_25N,-10.3,DecBTRearSmallError_30N,0.1
2411,DRW231810031,BT_914mm_NewBT,20180605,134512,6,P,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,72.9,BTFrontBigError_25N,12.4,BTFrontBigError_20N,8.8,BTFrontBigError_15N ,16.9,BTFrontBigError_30N,10.2,AccBTFrontBigError_25N,-2.3,DecBTFrontBigError_30N,-0.8,RADIUS_FRONT_SMALL_ROLL,57.9,BTFrontSmallError_25N,-0.7,BTFrontSmallError_20N,-3.1,BTFrontSmallError_15N,-5.1,BTFrontSmallError_30N,2.5,AccBTFrontSmallError_25N,-9.6,DecBTFrontSmallError_30N,-1.8,RADIUS_REAR_BIG_ROLL,60.1,BTRearBigError_25N,19.9,BTBTRearBigError_20N,15.9,BTBTRearBigError_15N ,27.1,BTBTRearBigError_30N,12.8,AccBTRearBigError_25N,-5.8,DecBTRearBigError_30N,3.8,RADIUS_REAR_SMALL_ROLL,56.2,BTRearSmallError_25N,8.8,BTRearSmallError_20N,5.0,BTRearSmallError_15N,16.9,BTRearSmallError_30N,10.7,AccBTRearSmallError_25N,-10.3,DecBTRearSmallError_30N,0.1
2412,DRW231810031,BT_914mm_NewBT,20180605,134818,6,P,Y,Y,1,NIAGARA,NewCalib,Jig2,RADIUS_FRONT_BIG_ROLL,72.9,BTFrontBigError_25N,12.4,BTFrontBigError_20N,8.8,BTFrontBigError_15N ,16.9,BTFrontBigError_30N,10.2,AccBTFrontBigError_25N,-2.3,DecBTFrontBigError_30N,-0.8,RADIUS_FRONT_SMALL_ROLL,57.9,BTFrontSmallError_25N,-0.7,BTFrontSmallError_20N,-3.1,BTFrontSmallError_15N,-5.1,BTFrontSmallError_30N,2.5,AccBTFrontSmallError_25N,-9.6,DecBTFrontSmallError_30N,-1.8,RADIUS_REAR_BIG_ROLL,60.1,BTRearBigError_25N,19.9,BTBTRearBigError_20N,15.9,BTBTRearBigError_15N ,27.1,BTBTRearBigError_30N,12.8,AccBTRearBigError_25N,-5.8,DecBTRearBigError_30N,3.8,RADIUS_REAR_SMALL_ROLL,55.8,BTRearSmallError_25N,-3.2,BTRearSmallError_20N,-7.3,BTRearSmallError_15N,6.1,BTRearSmallError_30N,-2.7,AccBTRearSmallError_25N,-12.4,DecBTRearSmallError_30N,-13.5
